player_name,Team within selected timeframe,role_2,involvement,active_defence,intelligent_defence,progression,passing_quality,effectiveness,providing_teammates,box_threat
Giorgian de Arrascaeta,Flamengo,MIDFIELDER,0.25,0.14,-0.98,1.34,1.43,1.21,1.58,2.31
Mathías Villasanti,Grêmio,MIDFIELDER,0.45,0.69,0.26,-0.33,-0.17,-0.06,0.11,-0.22
Breno,América Mineiro,MIDFIELDER,0.29,-0.4,-0.25,0.01,-0.05,-0.35,-0.08,0.08
Rodriguinho,São Paulo,MIDFIELDER,0.76,-1.13,-0.09,2.08,1.12,0.55,1.84,0.38
Matheus Bianqui,Coritiba,MIDFIELDER,-0.41,-0.09,0.01,-1.08,-1.21,0.24,0.36,0.55
Pepê,Grêmio,MIDFIELDER,1.11,1.07,-0.09,0.1,0.04,0.08,-0.24,-0.11
Felipe Carballo,Grêmio,MIDFIELDER,0.18,-0.99,-0.27,0.38,0.33,-0.27,0.33,-0.32
Jean Lucas,Santos,MIDFIELDER,0.24,0.02,-0.52,0.6,0.59,0.26,0.2,0.39
Renato Augusto,Corinthians,MIDFIELDER,-0.1,-1.36,-1.07,0.7,1.0,-0.26,0.45,0.71
Gabriel Moscardo,Corinthians,MIDFIELDER,0.04,0.45,0.11,-0.47,-0.67,0.03,0.01,-0.68
Sebastián Gómez,Coritiba,MIDFIELDER,-0.96,-0.68,-0.64,-1.18,-0.95,-0.82,-0.88,-0.43
Charles Aránguiz,Internacional,MIDFIELDER,0.69,-0.36,-0.06,0.07,0.34,-0.58,-0.16,-0.7
Tomás Rincón,Santos,MIDFIELDER,-0.06,0.78,0.7,-1.05,-0.77,-0.5,-0.2,-0.25
